iter	RMSE
213	4.724624612
214	4.720577655
215	4.717799565
216	4.712069563
217	4.711010073
218	4.708917261
219	4.705671183
220	4.70520355
221	4.701308427
222	4.696497002
223	4.693696758
224	4.689510883
225	4.684823741
226	4.683645498
227	4.680739704
228	4.680272038
229	4.67771774
230	4.675555367
231	4.670884556
232	4.667513331
233	4.66482861
234	4.66205723
235	4.658425361
236	4.658050095
237	4.656055447
238	4.655115324
239	4.653206393
240	4.64921773
241	4.646542616
242	4.641785296
243	4.638938894
244	4.636179495
245	4.632314003
246	4.631996714
247	4.631108573
248	4.62919142
249	4.624528837
250	4.622224296
251	4.618645569
252	4.617868735
253	4.615186162
254	4.613304388
255	4.613005269
256	4.609184352
257	4.603798522
258	4.600785342
259	4.599943459
260	4.598474524
261	4.594216691
262	4.589960504
263	4.58694872
264	4.586333803
265	4.580586772
266	4.575818205
267	4.572990647
268	4.570477862
269	4.565398364
270	4.562742524
271	4.56032644
272	4.557466594
273	4.555247695
274	4.555188077
275	4.547989717
276	4.541123859
277	4.536242191
278	4.532215402
279	4.529940152
280	4.525999238
281	4.521005974
282	4.517706567
283	4.514920335
284	4.508996142
285	4.50430054
286	4.497319531
287	4.492812148
288	4.486107369
289	4.482808375
290	4.47965973
291	4.477104047
292	4.472475919
293	4.470373371
294	4.468396618
295	4.46355231
296	4.462104665
297	4.457201269
298	4.455242357
299	4.453066022
300	4.45138834
301	4.447106095
302	4.444906597
303	4.442333924
304	4.439261182
305	4.43382074
306	4.431609202
307	4.428122669
308	4.423934335
309	4.420660719
310	4.416724318
311	4.416424731
312	4.413385131
313	4.406770014
314	4.402216352
315	4.401628981
316	4.398060014
317	4.394833002
318	4.389265726
319	4.383359155
320	4.383123942
321	4.378247895
322	4.375364449
323	4.3719423
324	4.370783742
325	4.367988591
326	4.362921768
327	4.361413359
328	4.359108733
329	4.358870103
330	4.355450008
331	4.351817425
332	4.351482617
333	4.348710592
334	4.346905122
335	4.34418059
336	4.340193483
337	4.336479996
338	4.332222831
339	4.329551583
340	4.326178233
341	4.324313109
342	4.324084317
343	4.322291422
344	4.315634988
345	4.314940953
346	4.312581504
347	4.31253317
348	4.307724732
349	4.306825452
350	4.303997892
351	4.302026719
352	4.299256439
353	4.295615321
354	4.293912383
355	4.289805529
356	4.288095516
357	4.284132006
358	4.282224231
359	4.279842594
360	4.276633697
361	4.274637796
362	4.27290139
363	4.270239324
364	4.267575189
365	4.267265432
366	4.264040639
367	4.263405098
368	4.261499299
369	4.255700743
370	4.25174766
371	4.249311939
372	4.248704447
373	4.246489179
374	4.246279358
375	4.245988728
376	4.241530045
377	4.238832495
378	4.237095104
379	4.233928976
380	4.233734939
381	4.228673311
382	4.22394284
383	4.218772036
384	4.215824526
385	4.210947269
386	4.208192619
387	4.204556989
388	4.204361876
389	4.202717416
390	4.199736969
391	4.195562449
392	4.192600415
393	4.189820814
394	4.187764599
395	4.186998331
396	4.184429832
397	4.181634589
398	4.180555442
399	4.175052967
400	4.169877654
401	4.16672503
402	4.162297025
403	4.158335383
404	4.157526008
405	4.154889046
406	4.153033892
407	4.152852442
408	4.148269733
409	4.145374548
410	4.142802866
411	4.138694812
412	4.134655769
413	4.13249569
414	4.12855666
415	4.126601323
416	4.122596171
417	4.117296383
418	4.113423932
419	4.110205749
420	4.105250164
421	4.102767176
422	4.100560597
423	4.100352653
424	4.096100362
425	4.092755304
426	4.092576032
427	4.0901825
428	4.089114717
429	4.084775698
430	4.079579319
431	4.075905814
432	4.073213342
433	4.07092714
434	4.069587585
435	4.067494916
436	4.065279284
437	4.061841875
438	4.05967312
439	4.05739947
440	4.057095839
441	4.054461026
442	4.053266644
443	4.046490535
444	4.041143442
445	4.037905089
446	4.036466942
447	4.034720172
448	4.034578578
449	4.03304927
450	4.031228021
451	4.030612021
452	4.027861398
453	4.023829823
454	4.019006383
455	4.017635585
456	4.014821351
457	4.01348952
458	4.010659464
459	4.009690207
460	4.006235996
461	4.001513885
462	4.000651916
463	3.997289718
464	3.996154039
465	3.994550158
466	3.991194683
467	3.988143302
468	3.987800558
469	3.98731912
470	3.986985759
471	3.984964373
472	3.982975063
473	3.980935377
474	3.979462776
475	3.979280896
476	3.976965378
477	3.975430443
478	3.973665166
479	3.9715455
480	3.967395337
481	3.963808922
482	3.962396336
483	3.960089464
484	3.956824418
485	3.955336625
486	3.953006417
487	3.950835124
488	3.948078978
489	3.945667317
490	3.945335862
491	3.9426496
492	3.939564767
493	3.937889119
494	3.932915062
495	3.93275184
496	3.930948807
497	3.929955684
498	3.927665849
499	3.927534753
500	3.923657331
501	3.922925812
502	3.920382173
503	3.919910393
504	3.917912824
505	3.91289564
506	3.911360613
507	3.909876986
508	3.908106014
509	3.906112347
510	3.904602671
511	3.900038491
512	3.898390275
513	3.897879195
514	3.895063009
515	3.894446262
516	3.891866839
517	3.88834
518	3.88581947
519	3.883923954
520	3.8836332
521	3.882353732
522	3.882156724
523	3.882043861
524	3.879628156
525	3.87667268
526	3.87463595
527	3.872771623
528	3.87140841
529	3.867116586
530	3.862844663
531	3.860361459
532	3.856854854
533	3.855452055
534	3.853238447
535	3.851005972
536	3.848389924
537	3.847152991
538	3.843404464
539	3.842976729
540	3.840197022
541	3.838514928
542	3.837469577
543	3.83537053
544	3.832105472
545	3.830495061
546	3.829746425
547	3.828908621
548	3.827283108
549	3.824936147
550	3.822674154
551	3.819569903
552	3.816901577
553	3.815345731
554	3.811813332
555	3.811217965
556	3.808661425
557	3.803991218
558	3.803864848
559	3.802137982
560	3.800162498
561	3.798408624
562	3.795031428
563	3.793073812
564	3.791466413
565	3.790272287
566	3.78698389
567	3.785571927
568	3.783999718
569	3.780173943
570	3.775890981
571	3.773006121
572	3.771099304
573	3.77014126
574	3.768855744
575	3.765725334
576	3.763928244
577	3.763687003
578	3.76211017
579	3.761602972
580	3.758480862
581	3.756845535
582	3.755082694
583	3.753227098
584	3.752833227
585	3.751319984
586	3.74851854
587	3.744336477
588	3.742067028
589	3.739482923
590	3.737424024
591	3.733694984
592	3.73211262
593	3.730646144
594	3.730472653
595	3.7265003
596	3.725496658
597	3.724582198
598	3.723758143
599	3.722500662
600	3.72067958
601	3.719615965
602	3.718439622
603	3.716006036
604	3.712260489
605	3.711997771
606	3.711104205
607	3.710448176
608	3.708884126
609	3.708194598
610	3.704557219
611	3.70245849
612	3.699820846
613	3.699607174
614	3.696517868
615	3.695134484
616	3.694590355
617	3.694220113
618	3.692957395
619	3.688996721
620	3.68718051
621	3.686275319
622	3.684893511
623	3.6834694
624	3.6810917
625	3.679499319
626	3.678084869
627	3.675397247
628	3.67437027
629	3.67310127
630	3.672482304
631	3.672147774
632	3.669593004
633	3.667337516
634	3.667002416
635	3.666250575
636	3.663679431
637	3.661350318
638	3.660282079
639	3.660140125
640	3.658484999
641	3.655917539
642	3.654068201
643	3.652351544
644	3.650856789
645	3.648414914
646	3.646955443
647	3.645919461
648	3.642441076
649	3.639683343
650	3.63912956
651	3.637135499
652	3.63585101
653	3.635591778
654	3.634798193
655	3.633015667
656	3.632225775
657	3.628906447
658	3.625403025
659	3.625290634
660	3.625135176
661	3.624153842
662	3.623340831
663	3.619465069
664	3.616158277
665	3.615237247
666	3.612872698
667	3.612767953
668	3.611916722
669	3.608619
670	3.606907274
671	3.606403436
672	3.604553636
673	3.603578492
674	3.60345668
675	3.598576149
676	3.596018955
677	3.594214053
678	3.592708454
679	3.592250274
680	3.591688318
681	3.590432995
682	3.586322197
683	3.583840594
684	3.58268409
685	3.580442941
686	3.576522669
687	3.575593701
688	3.574351082
689	3.572735454
690	3.570404513
691	3.568278671
692	3.565032014
693	3.563554535
694	3.560594117
695	3.558568736
696	3.557454344
697	3.553905315
698	3.551773249
699	3.550889518
700	3.547714646
701	3.54534361
702	3.542968608
703	3.542792138
704	3.541092107
705	3.540110826
706	3.539270585
707	3.534689543
708	3.533271586
709	3.529899527
710	3.529802761
711	3.526546834
712	3.522693228
713	3.521429515
714	3.52125682
715	3.519477955
716	3.518246134
717	3.517833014
718	3.515968557
719	3.514073707
720	3.512902176
721	3.512165559
722	3.507993367
723	3.507312793
724	3.505180034
725	3.504159986
726	3.502921382
727	3.501764061
728	3.498284114
729	3.49755461
730	3.496871523
731	3.495172528
732	3.492833181
733	3.492675331
734	3.491253298
735	3.488179867
736	3.484339005
737	3.480930104
738	3.477064411
739	3.474893452
740	3.473011285
741	3.472708437
742	3.471604979
743	3.471009824
744	3.470169776
745	3.469224483
746	3.464742909
747	3.462156829
748	3.460678708
749	3.458995853
750	3.456920814
751	3.455749489
752	3.452730563
753	3.452630714
754	3.449530371
755	3.447734377
756	3.446987221
757	3.444468447
758	3.444115382
759	3.442390882
760	3.440969984
761	3.43995542
762	3.437664059
763	3.43743129
764	3.434335971
765	3.43116944
766	3.427411008
767	3.426345735
768	3.426003703
769	3.423854839
770	3.422260446
771	3.420025417
772	3.417733339
773	3.416709927
774	3.414487401
775	3.410640571
776	3.410431126
777	3.410119916
778	3.410060343
779	3.408091319
780	3.407534814
781	3.405553291
782	3.404175538
783	3.403476371
784	3.40178615
785	3.398218099
786	3.396716318
787	3.393999042
788	3.392130327
789	3.39001366
790	3.386223748
791	3.384651274
792	3.383727258
793	3.383049265
794	3.379669338
795	3.379362444
796	3.378482996
797	3.376674585
798	3.375112336
799	3.372613248
800	3.369702592
801	3.367839307
802	3.367498527
803	3.364793178
804	3.364696617
805	3.363499412
806	3.362735601
807	3.361709641
808	3.359931021
809	3.359531424
810	3.357133011
811	3.354722546
812	3.354257017
813	3.350279941
814	3.350128315
815	3.344790343
816	3.341461285
817	3.341417464
818	3.34017716
819	3.339639867
820	3.33619564
821	3.335166861
822	3.333388867
823	3.331645093
824	3.330577467
825	3.32820002
826	3.326436228
827	3.323650061
828	3.323445827
829	3.322354042
830	3.320732889
831	3.319972142
832	3.318678947
833	3.318449849
834	3.3167586
835	3.313299335
836	3.312324936
837	3.311336595
838	3.309545312
839	3.308357202
840	3.308285467
841	3.306796742
842	3.30586425
843	3.305770326
844	3.304716944
845	3.301507896
846	3.300086767
847	3.297335272
848	3.294500998
849	3.293383232
850	3.292244895
851	3.290284066
852	3.289197505
853	3.289125507
854	3.287942968
855	3.286456328
856	3.284941736
857	3.283243568
858	3.282424607
859	3.281870131
860	3.279737492
861	3.276079012
862	3.27297702
863	3.27130868
864	3.270401213
865	3.269225553
866	3.26918739
867	3.26684206
868	3.265938387
869	3.264454822
870	3.263507404
871	3.263142567
872	3.262812833
873	3.261187198
874	3.260300455
875	3.260209754
876	3.257775255
877	3.256388925
878	3.255919356
879	3.254183924
880	3.253244691
881	3.251723758
882	3.248046103
883	3.247868098
884	3.247449717
885	3.246347125
886	3.245023328
887	3.244211388
888	3.242874143
889	3.241634624
890	3.23996583
891	3.23843257
892	3.237004564
893	3.234073903
894	3.233847082
895	3.232819189
896	3.232655934
897	3.23246034
898	3.23021113
899	3.229000902
900	3.224043415
901	3.221514784
902	3.218691636
903	3.217514881
904	3.216685349
905	3.214281487
906	3.213288761
907	3.210228391
908	3.20724223
909	3.205851245
910	3.203542685
911	3.201547172
912	3.198294556
913	3.198222998
914	3.197348951
915	3.196018506
916	3.194639089
917	3.193914727
918	3.193756736
919	3.193647441
920	3.192039622
921	3.18914153
922	3.186828915
923	3.184657041
924	3.183146807
925	3.182831455
926	3.179760356
927	3.178539982
928	3.177421365
929	3.176381783
930	3.175139056
931	3.172598747
932	3.170460246
933	3.17035874
934	3.170119651
935	3.167964504
936	3.166707809
937	3.165675172
938	3.165484712
939	3.16496803
940	3.162310064
941	3.162027927
942	3.160369605
943	3.15898087
944	3.158122384
945	3.157288443
946	3.154362165
947	3.152767682
948	3.150362883
949	3.149471809
950	3.148054885
951	3.146409813
952	3.142981082
953	3.141485193
954	3.138460941
955	3.136987849
956	3.133626658
957	3.13331004
958	3.130592561
959	3.129929861
960	3.127789009
961	3.126040584
962	3.124628031
963	3.124416665
964	3.123231462
965	3.120669718
966	3.120305921
967	3.115853539
968	3.112678269
969	3.111690481
970	3.109556495
971	3.108892458
972	3.108104265
973	3.107052243
974	3.104036812
975	3.102866516
976	3.100126718
977	3.098921784
978	3.095973397
979	3.094295213
980	3.091875857
981	3.089470337
982	3.086683075
983	3.085657698
984	3.085434022
985	3.083441187
986	3.082230131
987	3.078751082
988	3.076090885
989	3.075799709
990	3.07577114
991	3.075037679
992	3.074710738
993	3.074114374
994	3.074036809
995	3.072713938
996	3.070444734
997	3.067902289
998	3.063371775
999	3.061872405
